latravel,motorway,other
E08000018,0.19387598206717832,0.8061240179328217
E08000019,0.054377672618406044,0.9456223273815939
E08000021,0.0058707859288573,0.9941292140711427
E08000022,0,1
E08000023,0,1
E08000024,0.025720575221804452,0.9742794247781955
E08000025,0.1020772497507136,0.8979227502492864
E08000026,0.018326538217643268,0.9816734617823567
E08000027,0.03421060234587936,0.9657893976541206
E08000028,0.31193541485062615,0.6880645851493739
E08000029,0.074739503388714,0.925260496611286
E08000030,0.17818194912518343,0.8218180508748165
E08000031,0,1
E08000032,0.0042911509974070195,0.9957088490025929
E08000033,0.07854293636299248,0.9214570636370075
E08000034,0.14694778526146093,0.8530522147385391
E08000035,0.11780324083089873,0.8821967591691012
E08000036,0.15250589219819954,0.8474941078018005
E08000037,0.03914709640300735,0.9608529035969926
E09000002,0.0241154653602591,0.9758845346397409
E09000003,0.01819747040087998,0.9818025295991201
E09000004,0.2685071607944714,0.7314928392055287
E09000005,0,1
E09000006,9.991870387286414e-5,0.9999000812961272
E09000007,0,1
E09000008,0,1
E09000009,0,1
E09000010,0.06791356648831502,0.932086433511685
E09000011,0.06790078692195319,0.9320992130780468
E09000012,0.054137773383936466,0.9458622266160636
E09000013,0.004653322709402464,0.9953466772905976
E09000014,0,1
E09000015,0.05974052749895778,0.9402594725010422
E09000016,0.04157540482492557,0.9584245951750744
E09000017,0.057006714322204985,0.9429932856777951
E09000018,0.0744326531576095,0.9255673468423905
E09000019,0,1
E09000020,0.005983605232245579,0.9940163947677544
E09000021,0,1
E09000022,0,1
E09000023,0,1
E09000024,0,1
E09000025,0.011082136080384532,0.9889178639196154
E09000026,0.15455727271706232,0.8454427272829377
E09000027,0,1
E09000028,0,1
E09000029,0,1
E09000030,0.006637429456598615,0.9933625705434014
E09000031,0.17383226966175977,0.8261677303382402
E09000032,0,1
E09000033,0.0021026068290077972,0.9978973931709922
